epoch,loss,elapsed
160,8.5988994922689566e-01,0.02106346
161,8.4952124056361467e-01,0.02115908
162,8.3781247527147151e-01,0.02125462
163,8.2643551019648442e-01,0.02135050
164,8.1225066379824007e-01,0.02144596
165,7.9979104734782691e-01,0.02154117
166,7.9000536055886528e-01,0.02163642
167,7.7468150774241873e-01,0.02173162
168,7.6170032338966565e-01,0.02182717
169,7.4415588947471634e-01,0.02192921
170,7.2307835167727774e-01,0.02202637
171,7.0895008843498830e-01,0.02212192
172,6.9210802805027449e-01,0.02222575
173,6.7209553972777270e-01,0.02233637
174,6.5437957875548214e-01,0.02243650
175,6.3273987499518503e-01,0.02253654
176,6.0286166847046230e-01,0.02264162
177,5.8733784234890296e-01,0.02276092
178,5.6993211809795685e-01,0.02286404
179,5.4978227433097837e-01,0.02297112
180,5.2494956918472713e-01,0.02309900
181,5.0525065093364807e-01,0.02321783
182,4.9064271658411746e-01,0.02333117
183,4.7690547338425987e-01,0.02344925
184,4.6592330315494584e-01,0.02356792
185,4.5163969241693258e-01,0.02367483
186,4.4664920391671958e-01,0.02381337
187,4.4004480568516657e-01,0.02390904
188,4.3065508714357692e-01,0.02400425
189,4.2135962413045591e-01,0.02410004
190,4.1380796871852688e-01,0.02419504
191,4.0491387607827467e-01,0.02429237
192,3.9969184968216381e-01,0.02440537
193,3.9505625828723451e-01,0.02450262
194,3.9172489457847676e-01,0.02459783
195,3.8383686242475629e-01,0.02469312
196,3.7961473984196054e-01,0.02478829
197,3.7416309465554148e-01,0.02488154
198,3.6573668929709469e-01,0.02497829
199,3.6086715886257259e-01,0.02511792
200,3.5457556602333473e-01,0.02521342
201,3.5032758473230835e-01,0.02530925
202,3.4508602369254560e-01,0.02540196
203,3.4065058242828988e-01,0.02549779
204,3.3586584643931472e-01,0.02559342
205,3.3110023967196550e-01,0.02568971
206,3.2758680215796110e-01,0.02578537
207,3.2204801815591311e-01,0.02588025
208,3.1599943805232178e-01,0.02597563
209,3.1289580462897193e-01,0.02607100
210,3.0877685530002880e-01,0.02616654
211,3.0580335981158907e-01,0.02626438
212,3.0203846765648423e-01,0.02636050
213,2.9851527370451314e-01,0.02645654
214,2.9543586080353490e-01,0.02655271
215,2.8995030140574463e-01,0.02664800
216,2.8483265355478815e-01,0.02674283
217,2.8205159249816497e-01,0.02683800
218,2.7867421116154689e-01,0.02693321
219,2.7618681920497068e-01,0.02702837
220,2.7299417979468382e-01,0.02712387
221,2.6782994385053255e-01,0.02721904
222,2.6506029417165955e-01,0.02731671
223,2.6243240396003359e-01,0.02741229
224,2.5660721710623369e-01,0.02750796
225,2.5476712121062028e-01,0.02760350
226,2.5229181144735624e-01,0.02769896
227,2.4926697571615597e-01,0.02779479
228,2.4580626993615115e-01,0.02789008
229,2.4151354627749078e-01,0.02798537
230,2.3961035511059714e-01,0.02812417
231,2.3509499135609968e-01,0.02821946
232,2.3222325312156972e-01,0.02831296
233,2.2904692955709743e-01,0.02840858
234,2.2649147512769333e-01,0.02851504
235,2.2432203707571571e-01,0.02863817
236,2.1991944979596828e-01,0.02882483
237,2.1759264115865426e-01,0.02894558
238,2.1444570553267203e-01,0.02904500
239,2.0819811353193285e-01,0.02914692
240,2.0445777247223917e-01,0.02924675
241,2.0083567667978974e-01,0.02934433
242,1.9697215474127702e-01,0.02944333
243,1.9375195608995374e-01,0.02954142
244,1.8728757936838514e-01,0.02963950
245,1.7999655311219903e-01,0.02973587
246,1.7479893900916607e-01,0.02984862
247,1.6930692650236059e-01,0.02994621
248,1.6482160478500321e-01,0.03004300
249,1.6061690257480427e-01,0.03014646
250,1.5486546228621956e-01,0.03024692
251,1.5177589626241869e-01,0.03036017
252,1.4983851666224196e-01,0.03045654
253,1.4639406021365253e-01,0.03055675
254,1.4378439805243018e-01,0.03065271
255,1.4000855969103462e-01,0.03074850
256,1.3543883363605333e-01,0.03084954
257,1.3328717678668503e-01,0.03094687
258,1.3108061718096981e-01,0.03104350
259,1.2948087295535496e-01,0.03113933
260,1.2774462744958437e-01,0.03123500
261,1.2627844896620649e-01,0.03133179
262,1.2523325320666653e-01,0.03142687
263,1.2402971518433806e-01,0.03156675
264,1.2232667520775115e-01,0.03166225
265,1.2138489977634108e-01,0.03175725
266,1.1973148552285870e-01,0.03185562
267,1.1890963706605842e-01,0.03195033
268,1.1712855319000794e-01,0.03204537
269,1.1564157872855532e-01,0.03214071
270,1.1431373493644109e-01,0.03223617
271,1.1170615384211738e-01,0.03233154
272,1.1025192175333227e-01,0.03247171
273,1.0793082437089545e-01,0.03256683
274,1.0625166450960319e-01,0.03266204
275,1.0426520972951139e-01,0.03275729
276,1.0251844056986784e-01,0.03285279
277,1.0105688558837143e-01,0.03294833
278,9.9012808713662429e-02,0.03304354
279,9.7932738952639778e-02,0.03313875
280,9.6583577444700294e-02,0.03323525
281,9.3679835105990969e-02,0.03333167
282,9.2822005206493738e-02,0.03342725
283,9.1383827201636889e-02,0.03352283
284,9.0047616427189975e-02,0.03361821
285,8.8957247351959479e-02,0.03371750
286,8.7264429504164034e-02,0.03381287
287,8.5801858719803253e-02,0.03391525
288,8.4800112741249808e-02,0.03401212
289,8.3769276728223693e-02,0.03410763
290,8.2851892537343014e-02,0.03420283
291,8.1627133355126016e-02,0.03430646
292,8.0536815206314477e-02,0.03440296
293,7.9600161588147186e-02,0.03449629
294,7.8625548854157040e-02,0.03459188
295,7.7128374952575629e-02,0.03469004
296,7.5935185648188658e-02,0.03478512
297,7.4577118894289390e-02,0.03488550
298,7.3411616967084398e-02,0.03497812
299,7.1947092988433867e-02,0.03507350
300,7.0844513975681506e-02,0.03516904
301,6.9515148574009034e-02,0.03526433
302,6.7709700016626559e-02,0.03535921
303,6.6454948786895757e-02,0.03545417
304,6.5151178465983589e-02,0.03554917
305,6.3313508551447267e-02,0.03564412
306,6.1965001875967832e-02,0.03573904
307,6.1246306305652844e-02,0.03583400
308,6.0137054098020511e-02,0.03592933
309,5.9490528181472040e-02,0.03602462
310,5.8708660690569840e-02,0.03611983
311,5.7428774938118883e-02,0.03622158
312,5.6634273992264436e-02,0.03633608
313,5.5529413558636428e-02,0.03644612
314,5.4531089946981123e-02,0.03655862
315,5.3637093005984023e-02,0.03665908
316,5.2977359260868717e-02,0.03675471
317,5.1685628938172419e-02,0.03685783
318,5.1164410590609645e-02,0.03695746
319,4.9866496214390224e-02,0.03705229
320,4.9052355884439396e-02,0.03716483
321,4.8154836030247797e-02,0.03726033
322,4.6646261047806920e-02,0.03735558
323,4.5673300230176440e-02,0.03749642
324,4.4713880124182745e-02,0.03759229
325,4.4003411454216566e-02,0.03768783
326,4.3342461775024016e-02,0.03778342
327,4.2543445491499118e-02,0.03788483
328,4.1687055193615916e-02,0.03799125
329,4.0506163261691680e-02,0.03809967
330,3.9406968205743263e-02,0.03820992
331,3.8602851309319099e-02,0.03833046
332,3.7361908908153364e-02,0.03843012
333,3.6698100695145043e-02,0.03853050
334,3.6003565308787913e-02,0.03862567
335,3.5159429301048678e-02,0.03872658
336,3.4763731384816594e-02,0.03881892
337,3.4207805693347859e-02,0.03891392
338,3.3317519134144061e-02,0.03901025
339,3.2979334519972849e-02,0.03910600
340,3.2375552592483085e-02,0.03920100
341,3.1990233699031048e-02,0.03929600
342,3.1253512055480832e-02,0.03938883
343,3.0800696342037821e-02,0.03948746
344,3.0414725503792771e-02,0.03958246
345,2.9873814292509449e-02,0.03967758
346,2.9347249962663545e-02,0.03977250
347,2.8960098998926560e-02,0.03986733
348,2.8448177107753578e-02,0.03996988
349,2.8052148526604270e-02,0.04006471
350,2.7580034551342607e-02,0.04015942
351,2.7095043856519181e-02,0.04025475
352,2.6645360479359306e-02,0.04034958
353,2.6331373121328046e-02,0.04044471
354,2.5826028789381769e-02,0.04053987
355,2.5571463645805165e-02,0.04063471
356,2.5061706761018734e-02,0.04072975
357,2.4567247864346387e-02,0.04082483
358,2.4187695723572624e-02,0.04091967
359,2.3542247271800747e-02,0.04101475
360,2.3011145375880965e-02,0.04115350
361,2.2457326772472083e-02,0.04124854
362,2.2090546012351293e-02,0.04134362
363,2.1660405212890043e-02,0.04144204
364,2.1154650024499896e-02,0.04153712
365,2.0657086302336074e-02,0.04163517
366,2.0004769558111157e-02,0.04173004
367,1.9496247316317807e-02,0.04183058
368,1.8779498907628978e-02,0.04192613
369,1.8150983620297972e-02,0.04202154
370,1.7560441290612579e-02,0.04211662
371,1.6794547497134455e-02,0.04221433
372,1.6327416921973596e-02,0.04230983
373,1.5845633213561014e-02,0.04240508
374,1.5384729037026954e-02,0.04250046
375,1.4976039439376063e-02,0.04259533
376,1.4512095307615439e-02,0.04269042
377,1.4151705439750492e-02,0.04279733
378,1.3822827436126712e-02,0.04290404
379,1.3374692656583875e-02,0.04300421
380,1.3103300825134129e-02,0.04311179
381,1.2671963716870323e-02,0.04321237
382,1.2463437533047166e-02,0.04331883
383,1.2251285309162105e-02,0.04342996
384,1.1930905129206052e-02,0.04355167
385,1.1652247128957507e-02,0.04364717
386,1.1439995595289576e-02,0.04374229
387,1.1147231317390401e-02,0.04383754
388,1.0945233078502500e-02,0.04393696
389,1.0697760694408601e-02,0.04403483
390,1.0451315476224408e-02,0.04413004
391,1.0289851882371826e-02,0.04422467
392,1.0118368610935211e-02,0.04431954
393,9.8350786246168311e-03,0.04442187
394,9.7109845277714192e-03,0.04452292
395,9.5655378247134024e-03,0.04462350
396,9.3574260675380379e-03,0.04472442
397,9.2206550349157590e-03,0.04482467
398,9.0333147689971392e-03,0.04492508
399,8.8700123712018575e-03,0.04502883
400,8.7362057845837334e-03,0.04513075
401,8.6352032924525424e-03,0.04523379
402,8.5246061762320243e-03,0.04535096
403,8.4131336330888935e-03,0.04546208
404,8.2991721667999094e-03,0.04558838
405,8.2070477636323243e-03,0.04570675
406,8.1066723911453441e-03,0.04582454
407,7.9943931496518870e-03,0.04594196
408,7.9063015779541786e-03,0.04604346
409,7.8100384467998697e-03,0.04615642
410,7.7232084236435010e-03,0.04626446
411,7.6727069047848023e-03,0.04637308
412,7.6113986962836914e-03,0.04648187
413,7.5243423293500028e-03,0.04659058
414,7.4835986938902128e-03,0.04670217
415,7.4361108301493461e-03,0.04680225
416,7.3834671940427501e-03,0.04690096
417,7.3474913618427696e-03,0.04700358
418,7.3072461199629414e-03,0.04710387
419,7.2610434436034352e-03,0.04720437
420,7.2281551164445840e-03,0.04730433
421,7.1946373227610621e-03,0.04740412
422,7.1672287823505943e-03,0.04750546
423,7.1332066810820723e-03,0.04760896
424,7.1048406897552862e-03,0.04771679
425,7.0591671502309838e-03,0.04782592
426,7.0362825165782399e-03,0.04792875
427,7.0120515151572277e-03,0.04803017
428,6.9858037074294653e-03,0.04813092
429,6.9540059040188677e-03,0.04823067
430,6.9304373441492857e-03,0.04833033
431,6.9112942796395018e-03,0.04844037
432,6.8948222600451600e-03,0.04854363
433,6.8810907081045458e-03,0.04865233
434,6.8587266565616773e-03,0.04876850
435,6.8442453250005955e-03,0.04887608
436,6.8302456932821769e-03,0.04898387
437,6.8051458266690165e-03,0.04909300
438,6.7894851074831080e-03,0.04920550
439,6.7518915522751912e-03,0.04930633
440,6.7268066811250722e-03,0.04940604
441,6.7038074450043251e-03,0.04950654
442,6.6772105736722038e-03,0.04960571
443,6.6523431096836188e-03,0.04971346
444,6.6305851081582701e-03,0.04982142
445,6.5931539954362083e-03,0.04993779
446,6.5783327612199231e-03,0.05004787
447,6.5544622660053025e-03,0.05015792
448,6.5215985030618482e-03,0.05026746
449,6.4870355718162197e-03,0.05037737
450,6.4501371272658956e-03,0.05048967
451,6.4200956152803057e-03,0.05059879
452,6.3953463151507550e-03,0.05071096
453,6.3724054100186530e-03,0.05081767
454,6.3367149969190866e-03,0.05092092
455,6.3217955520646863e-03,0.05102937
456,6.3004504793638333e-03,0.05113837
457,6.2848657391928985e-03,0.05123879
458,6.2555916662439502e-03,0.05133958
459,6.2338048505444143e-03,0.05145100
460,6.2147603256740534e-03,0.05155200
461,6.1821923588561535e-03,0.05166575
462,6.1653924256619922e-03,0.05176533
463,6.1422443109741386e-03,0.05186554
464,6.1268868280705685e-03,0.05196700
465,6.1011553700072311e-03,0.05206729
466,6.0739187615359569e-03,0.05216737
467,6.0394723611909571e-03,0.05227787
468,6.0188376551735569e-03,0.05238679
469,5.9931353576662327e-03,0.05250146
470,5.9680429773412771e-03,0.05260992
471,5.9377770261740412e-03,0.05272067
472,5.9112265845278397e-03,0.05282354
473,5.8778692555276606e-03,0.05293292
474,5.8505436076863558e-03,0.05304129
475,5.8145312990590453e-03,0.05314913
476,5.8011748369309448e-03,0.05325163
477,5.7552487989784998e-03,0.05335104
478,5.7409714689978927e-03,0.05345083
479,5.7088897206447903e-03,0.05355058
480,5.6769159351595898e-03,0.05365046
481,5.6398605930758888e-03,0.05375037
482,5.6122245246191466e-03,0.05385704
483,5.5806174626442722e-03,0.05396517
484,5.5598670428912951e-03,0.05409450
485,5.5391299306680854e-03,0.05422317
486,5.5144581396138516e-03,0.05433379
487,5.5032077639892438e-03,0.05444479
488,5.4930261409748323e-03,0.05455792
489,5.4606392650696734e-03,0.05475254
490,5.4434756157812044e-03,0.05488875
491,5.4181834315876181e-03,0.05501000
492,5.3870574025088368e-03,0.05512387
493,5.3758329747521059e-03,0.05522917
494,5.3538355417554993e-03,0.05533642
495,5.3337656733419532e-03,0.05544092
496,5.3142827372505419e-03,0.05554288
497,5.2959650933559052e-03,0.05564717
498,5.2811836754520659e-03,0.05575937
499,5.2593962275129620e-03,0.05587492
500,5.2222170048376315e-03,0.05598154
501,5.2068626461175601e-03,0.05610254
502,5.1768081604246863e-03,0.05622146
503,5.1580856458958600e-03,0.05633283
504,5.1250244021343152e-03,0.05643687
505,5.1046482624181677e-03,0.05653846
506,5.0884993907841670e-03,0.05664167
507,5.0598889785777746e-03,0.05674396
508,5.0428194902715261e-03,0.05689404
509,5.0248315287495940e-03,0.05699521
510,5.0098806329166188e-03,0.05709737
511,4.9946378826090125e-03,0.05720671
512,4.9796062785952763e-03,0.05731579
513,4.9686216132574269e-03,0.05742612
514,4.9531698664409679e-03,0.05752763
515,4.9438742859873085e-03,0.05768333
516,4.9340279730187937e-03,0.05783246
517,4.9178886947472498e-03,0.05795987
518,4.9084573131944805e-03,0.05807892
519,4.8907038742181464e-03,0.05819229
520,4.8800310952783338e-03,0.05835958
521,4.8621041396853743e-03,0.05847046
522,4.8481407183725463e-03,0.05858500
523,4.8348583751944728e-03,0.05869537
524,4.8236097662521108e-03,0.05880350
525,4.8145819214141993e-03,0.05891263
526,4.8059599536155228e-03,0.05902108
527,4.8004779954572765e-03,0.05912292
528,4.7942713208724346e-03,0.05923492
529,4.7879894597786642e-03,0.05933604
530,4.7824277264755469e-03,0.05944921
531,4.7788779776013410e-03,0.05955000
532,4.7736720712969593e-03,0.05965171
533,4.7700238046381807e-03,0.05975954
534,4.7650534898612167e-03,0.05986079
535,4.7568871995382171e-03,0.05996287
536,4.7515581250508762e-03,0.06006371
537,4.7423717467971497e-03,0.06017217
538,4.7341743721785031e-03,0.06027483
539,4.7285152482189167e-03,0.06037488
540,4.7224385749972571e-03,0.06047658
541,4.7176984899122342e-03,0.06057896
542,4.7142510987612293e-03,0.06067958
543,4.7094356274091200e-03,0.06078087
544,4.7059402875479685e-03,0.06088262
545,4.7017897163487811e-03,0.06098329
546,4.6950750589431958e-03,0.06108317
547,4.6881801649750251e-03,0.06118483
548,4.6849797215766358e-03,0.06128592
549,4.6751986814612921e-03,0.06138662
550,4.6739529627103883e-03,0.06148683
551,4.6664039070722025e-03,0.06158704
552,4.6628171832196865e-03,0.06168792
553,4.6584709915217602e-03,0.06178787
554,4.6536192363686307e-03,0.06188817
555,4.6505489835130835e-03,0.06203696
556,4.6447010969483064e-03,0.06213825
557,4.6407209304117148e-03,0.06223900
558,4.6358452001811039e-03,0.06234042
559,4.6320812965386119e-03,0.06254817
560,4.6286362248232011e-03,0.06265983
561,4.6232246662364761e-03,0.06278050
562,4.6200774310149115e-03,0.06289238
563,4.6154863638536462e-03,0.06300404
564,4.6112311518629193e-03,0.06311542
565,4.6067667857258706e-03,0.06322650
566,4.6037934217327721e-03,0.06333742
567,4.5965596253119368e-03,0.06344817
568,4.5938089206402754e-03,0.06355921
569,4.5865766599846860e-03,0.06367017
570,4.5825294259683250e-03,0.06378108
571,4.5784910891273544e-03,0.06388900
572,4.5746096557176194e-03,0.06400379
573,4.5688487000665528e-03,0.06412029
574,4.5642435162660221e-03,0.06423950
575,4.5596104739020205e-03,0.06436162
576,4.5537129296681295e-03,0.06447025
577,4.5464005782561738e-03,0.06458471
578,4.5407431046284733e-03,0.06468517
579,4.5330766790630233e-03,0.06478558
580,4.5272807777635860e-03,0.06488654
581,4.5222720454516909e-03,0.06499062
582,4.5141566324933416e-03,0.06510079
583,4.5097663719145427e-03,0.06520154
584,4.5025618758477532e-03,0.06531225
585,4.4946970905038646e-03,0.06546579
586,4.4822945737673023e-03,0.06556712
587,4.4764088689701279e-03,0.06566767
588,4.4678424932631765e-03,0.06576821
589,4.4624434955172453e-03,0.06586867
590,4.4571419771000254e-03,0.06596929
591,4.4493316431373766e-03,0.06606979
592,4.4436684163656794e-03,0.06616996
593,4.4353597265543408e-03,0.06627162
594,4.4235585035855554e-03,0.06637312
595,4.4178107714469275e-03,0.06647342
596,4.4096101420710940e-03,0.06657367
597,4.4044120332736155e-03,0.06667400
598,4.3965446943296524e-03,0.06677492
599,4.3898533323669534e-03,0.06687525
600,4.3840909293492930e-03,0.06697783
601,4.3761744088935640e-03,0.06707921
602,4.3676903056592440e-03,0.06717933
603,4.3625152378836650e-03,0.06728017
604,4.3532511133871059e-03,0.06738100
605,4.3479352662425825e-03,0.06748471
606,4.3414510097928233e-03,0.06758475
607,4.3335789528825518e-03,0.06768592
608,4.3283798769866554e-03,0.06778708
609,4.3196999762367969e-03,0.06788800
610,4.3057616886516348e-03,0.06798908
611,4.2995247016234250e-03,0.06808904
612,4.2893366197302571e-03,0.06818900
613,4.2829806016060111e-03,0.06828908
614,4.2712302029939081e-03,0.06838933
615,4.2628430792676407e-03,0.06848971
616,4.2563813497493806e-03,0.06858988
617,4.2474905440822910e-03,0.06869021
618,4.2416162337991052e-03,0.06879042
619,4.2366484925971419e-03,0.06889104
620,4.2314328458252998e-03,0.06899175
621,4.2243594690933237e-03,0.06909246
622,4.2145975529184867e-03,0.06919329
623,4.2042196089273386e-03,0.06929446
624,4.1985973988065027e-03,0.06939533
625,4.1913072798011571e-03,0.06949667
626,4.1861544589697165e-03,0.06959725
627,4.1790231146471716e-03,0.06969850
628,4.1730570062665515e-03,0.06980167
629,4.1640542861165553e-03,0.06990283
630,4.1600309180440794e-03,0.07000404
631,4.1514481511504926e-03,0.07010546
632,4.1476184517538709e-03,0.07025558
633,4.1418395773925422e-03,0.07035883
634,4.1352917855701325e-03,0.07045967
635,4.1309666976864006e-03,0.07055992
636,4.1263257197986566e-03,0.07066187
637,4.1208615188666172e-03,0.07077017
638,4.1146312738361435e-03,0.07088500
639,4.1109018900157678e-03,0.07099971
640,4.1033833374029029e-03,0.07111138
641,4.0988696511861889e-03,0.07122321
642,4.0931489783088771e-03,0.07133442
643,4.0825159723174801e-03,0.07144504
644,4.0757231065755347e-03,0.07161225
