epoch,frame,norm_fu,norm_imp,loss,walltime,memory,error_u,error_k
5800,2,0.01473095640540123,0.041956789791584015,0.0019773731473833323,28.01401925086975,182.640625,0.036660265,0.82554394
6000,2,0.015065943822264671,0.0416276715695858,0.001959845656529069,28.85011124610901,182.796875,0.03643311,0.811391
6200,2,0.015696438029408455,0.04122227430343628,0.0019456539303064346,29.683053731918335,183.15625,0.036171615,0.79729915
6400,2,0.015306457877159119,0.040757808834314346,0.0018954866100102663,30.517162799835205,183.40625,0.035860263,0.78059596
6600,2,0.013900925405323505,0.04019179940223694,0.0018086163327097893,31.351415395736694,183.578125,0.03548242,0.7605712
6800,2,0.014565260149538517,0.03950713947415352,0.0017729609971866012,32.18592548370361,183.78125,0.0350222,0.73638284
7000,2,0.013963456265628338,0.038634877651929855,0.001687631942331791,33.02484488487244,179.390625,0.03444574,0.70982254
7200,2,0.014823089353740215,0.03757208213210106,0.00163138541392982,33.86193585395813,179.890625,0.03373955,0.6791161
7400,2,0.012320881709456444,0.036249615252017975,0.0014658388681709766,34.69788146018982,181.4375,0.032870613,0.6434069
7600,2,0.011565430089831352,0.034668829292058945,0.001335686887614429,35.614391565322876,154.78125,0.031843856,0.6056372
7800,2,0.010833214968442917,0.03285069763660431,0.001196526805870235,36.498918533325195,154.96875,0.030672785,0.5662436
8000,2,0.012150967493653297,0.03085450828075409,0.0010996466735377908,37.44717335700989,151.796875,0.02940244,0.5272681
8200,3,0.009625048376619816,0.028763525187969208,0.0009199819760397077,38.30924654006958,189.140625,0.028103203,0.49095604
8400,3,0.008929864503443241,0.02666807919740677,0.0007909289561212063,39.18507528305054,190.171875,0.026825963,0.4574227
8600,3,0.007946690544486046,0.024650605395436287,0.0006708022556267679,40.03576040267944,190.34375,0.025607241,0.4262587
8800,3,0.009974113665521145,0.02274930104613304,0.00061701366212219,41.085801124572754,141.59375,0.02444916,0.39649045
9000,3,0.009580787271261215,0.02095133811235428,0.000530750083271414,41.98011612892151,140.09375,0.02331486,0.365749
