epoch,frame,norm_fu,norm_fu_mg1,loss,walltime,memory,error_u,rel_error_u,residual_u,weight_pde,weight_mg
200,2,209.29641992763055,96.90007224499712,53194.61539560874,0.5867061614990234,408.15625,0.13207763531898328,0.2728114183617798,206.8637596786271,1.0,1.0
210,3,186.22659162335685,87.06230232184612,42260.18791323306,0.5908143520355225,405.1875,0.12814104635659535,0.2646802429682874,184.07671304018305,1.0,1.0
220,3,165.86549881387916,78.77914162930651,33717.51685262729,0.5934374332427979,402.1875,0.12451762582208302,0.2571959289664949,163.97058229865792,1.0,1.0
230,3,147.93864606593175,71.79981410321626,27041.056305077433,0.596221923828125,402.1875,0.12119122505450552,0.2503251206782419,146.27265747511294,1.0,1.0
240,3,132.17112317734433,65.89692273194288,21811.610227500376,0.5989317893981934,402.21875,0.11814889979534224,0.24404108124139326,130.70374000687124,1.0,1.0
250,3,118.34274469309862,60.883767224297785,17711.8383329184,0.6015522480010986,402.234375,0.11536904121778728,0.23829917679590287,117.06226256077123,1.0,1.0
260,3,106.22022177951196,56.60768993866913,14487.16607508121,0.6040823459625244,402.28125,0.11283107013143794,0.23305690023518194,105.09541488657713,1.0,1.0
270,3,95.64366882803324,52.94274031757078,11950.645139220233,0.6066751480102539,402.28125,0.1105154333734005,0.22827386375178976,94.66043835601398,1.0,1.0
280,3,86.43743687774095,49.77775342802072,9949.25523033428,0.6093690395355225,402.3125,0.10839948366083722,0.22390328851494176,85.58895372434269,1.0,1.0
290,3,78.45449777560397,47.030678728634705,8366.9929628983,0.6122210025787354,402.328125,0.1064585279780783,0.21989417015427473,77.71960271027999,1.0,1.0
300,3,71.53660388475168,44.629033058829954,7109.236287130007,0.6148273944854736,402.328125,0.1046700578986214,0.2162000166520874,70.89820740560593,1.0,1.0
310,4,65.54618592074364,42.514072039963345,6103.7488101758845,0.6175525188446045,421.640625,0.10301532097170653,0.21278209410254298,64.99485395090991,1.0,1.0
320,4,60.39412499632375,40.63510765941671,5298.662308563964,0.6202588081359863,421.734375,0.10147525941382268,0.20960103792330387,59.9201186294684,1.0,1.0
330,4,55.94734824202364,38.95266138596542,4647.415604363947,0.6228370666503906,421.765625,0.10003409089006418,0.20662424909667654,55.535467053195326,1.0,1.0
340,4,52.183688480816386,37.47441406388606,4127.46905289447,0.6253619194030762,421.765625,0.09868026399764683,0.20382786775743844,51.795496448652735,1.0,1.0
350,4,49.00148170635629,36.15875866401643,3708.6010375409533,0.6280629634857178,421.765625,0.09740391547958145,0.20119152097021423,48.6301072943195,1.0,1.0
360,4,45.97997963596803,34.78369607755591,3324.064040139813,0.6305930614471436,421.765625,0.09619075151885126,0.19868568430806566,45.68772437603553,1.0,1.0
370,4,43.395859576548474,33.589426241202496,3011.4501836006966,0.6331048011779785,421.765625,0.09503920411773434,0.19630711901159584,43.170906301729545,1.0,1.0
380,4,41.19755374142155,32.48422544000296,2752.4633367142524,0.6356298923492432,421.78125,0.09393072837528299,0.1940175198770608,40.999949712395555,1.0,1.0
390,4,39.20472386837377,31.443637416357447,2525.71270756679,0.6381056308746338,421.78125,0.09286563312926072,0.19181752482069897,39.02164892763906,1.0,1.0
400,4,37.42795573111353,30.463288446830916,2328.8638132050164,0.6406445503234863,421.8125,0.09183348476825602,0.18968558281821365,37.26084722856746,1.0,1.0
410,5,35.835997470678805,29.532371231371545,2156.3796652660394,0.6432664394378662,427.328125,0.09083262423415053,0.18761826702146875,35.68561730866425,1.0,1.0
420,5,34.394405618186276,28.645715605496243,2003.5521603792947,0.6461324691772461,427.484375,0.08985828586451829,0.1856057337720529,34.259339562249956,1.0,1.0
430,5,33.236758071803756,27.79960007462212,1877.4998514325425,0.648841381072998,419.75,0.08890790092060266,0.18364267724160305,33.10810689653297,1.0,1.0
440,5,32.03189072859244,27.04317840812819,1757.3755220623366,0.6513080596923828,420.03125,0.08797981302372324,0.1817256761164649,31.963574607330386,1.0,1.0
450,5,30.836184418609108,26.246169966743963,1639.731707421684,0.6539039611816406,420.0625,0.08707519307005021,0.1798571489275591,30.66194705283526,1.0,1.0
460,5,29.680496157549577,25.47795610373167,1530.058099381993,0.6565840244293213,420.171875,0.0861895794246216,0.17802787999685468,29.560794049982345,1.0,1.0
470,5,28.639248594422977,24.748677646165806,1432.7036052869855,0.6590206623077393,420.1875,0.08532073297427642,0.17623324435029114,28.54479891913088,1.0,1.0
480,5,27.769481055848594,24.054701170904853,1349.7727265326653,0.6615018844604492,420.203125,0.08446794135338775,0.17447177056936072,27.709537634723716,1.0,1.0
490,5,26.854267470794937,23.392247814436253,1268.3489392049928,0.6640739440917969,420.203125,0.0836307546084384,0.17274252925782668,26.761243217104987,1.0,1.0
500,5,25.944402157344555,22.75289438116421,1190.8062060224388,0.6665723323822021,420.28125,0.08280795501243653,0.1710430051539112,25.86177395953551,1.0,1.0
510,6,25.12867199232729,22.139875071842237,1121.6242242947553,0.6692872047424316,425.84375,0.08200026795541428,0.1693746965785303,25.053383726391946,1.0,1.0
520,6,24.601038272848445,21.66563880254164,1074.6109888243518,0.671722412109375,426.03125,0.08120599588471274,0.16773409717159882,24.605868592465054,1.0,1.0
530,6,23.69893722082427,21.01139028253677,1003.1181470016504,0.6745138168334961,420.421875,0.08043133458554762,0.1661340045649678,23.57557399403225,1.0,1.0
540,6,23.37245226395621,20.459843696910887,964.8767289329359,0.677166223526001,420.421875,0.07967056315599981,0.16456260201643785,23.315633312197484,1.0,1.0
550,6,22.38515844985708,19.919291799941604,897.8735046364286,0.6796164512634277,420.421875,0.07892454205304252,0.163021666832869,22.279677200671514,1.0,1.0
560,6,21.662761857894065,19.42018859251542,846.418976280696,0.6821472644805908,420.4375,0.07819390715306039,0.1615125124413072,21.60412864760692,1.0,1.0
570,6,21.102453765997794,18.976933586874747,805.4375633067293,0.684581995010376,420.4375,0.07747879819641434,0.16003542748082428,21.001541130249123,1.0,1.0
580,6,20.424951090622855,18.470095986022766,758.3230727872301,0.6869969367980957,420.4375,0.07678147836787963,0.15859508664632263,20.35320356725777,1.0,1.0
590,6,19.93316135915085,18.01320212435397,721.8063725427751,0.6893959045410156,420.5,0.07609835735153317,0.1571840740026443,19.91731964975735,1.0,1.0
600,6,19.52844492217787,17.580584511626167,690.4371128489644,0.6917862892150879,420.5,0.07543187531761553,0.15580742981495432,19.446131104644216,1.0,1.0
610,7,18.84529457405292,17.166584959441494,649.8367667525515,0.6945226192474365,433.796875,0.07478157611775638,0.15446421189130932,18.785139783730575,1.0,1.0
620,7,18.426572259827353,16.768210641869256,620.7114533767362,0.6969897747039795,433.796875,0.0741482825527596,0.15315611975830817,18.432657053728487,1.0,1.0
630,7,18.134688817236853,16.42651783398322,598.6974266481841,0.6994383335113525,433.796875,0.07353139827077788,0.1518819216283517,18.118383077761482,1.0,1.0
640,7,17.7465456928334,16.130147826516676,575.1215529331045,0.701880931854248,433.8125,0.07293725337246673,0.15065469256698022,17.603742202795356,1.0,1.0
650,7,17.042157660503822,15.68728784605143,536.526137690342,0.7043323516845703,433.828125,0.07235605717073951,0.1494542095347337,16.951602358826936,1.0,1.0
660,7,16.542686676964802,15.318309014744491,508.31107356343114,0.7067744731903076,433.828125,0.07179566197950812,0.14829669178698082,16.500596102215866,1.0,1.0
670,7,16.182280873423657,14.987310755341296,486.48569794354205,0.709204912185669,433.828125,0.07125558530970855,0.14718114272406577,16.16243444660524,1.0,1.0
680,7,16.03338728209164,14.666553002330978,472.1772847077218,0.7116706371307373,433.828125,0.07073095253606856,0.14609749362064162,16.045038022042355,1.0,1.0
690,7,15.56599758105945,14.355230908886549,448.37293514100037,0.7141060829162598,433.84375,0.07022801825355636,0.14505866358235733,15.529541686673717,1.0,1.0
700,7,15.124046649715241,14.058072270723539,426.3661830316489,0.7165555953979492,433.859375,0.06974359118621085,0.14405806090639184,15.081394797179444,1.0,1.0
710,8,14.89898902812409,13.785502891854216,412.019964041483,0.7191495895385742,444.453125,0.06927937051517864,0.14309919531653412,14.924123905246907,1.0,1.0
720,8,15.463760279371208,13.948512402238062,433.6888802132478,0.7215733528137207,444.546875,0.06883305990871169,0.1421773236515388,15.229815085642768,1.0,1.0
730,8,14.472240499070907,13.36931332382211,388.18428381347553,0.7240192890167236,444.546875,0.06841390796182481,0.14131154923891287,14.233252162956422,1.0,1.0
740,8,13.997551777623356,13.033632341492385,365.80702778044304,0.7264299392700195,444.546875,0.06801073625233059,0.14047878261915306,13.931810043123798,1.0,1.0
750,8,13.669321381004885,12.727549721983296,348.84086894275435,0.7288315296173096,444.546875,0.06762676652133846,0.139685678422012,13.627285574852246,1.0,1.0
760,8,13.732939078992642,12.472421818051266,344.1549217547245,0.7312901020050049,444.5625,0.0672628199489853,0.13893393282653868,13.67569680071596,1.0,1.0
770,8,13.145422329010986,12.236986932390797,322.5459773915637,0.7338132858276367,444.5625,0.06691938544867775,0.1382245557021149,13.083505390278443,1.0,1.0
780,8,12.73992008814213,12.005643154217452,306.4410313986558,0.7362871170043945,444.625,0.066597245532107,0.13755916335663293,12.714580680187302,1.0,1.0
790,8,12.487592286920297,11.782602767588486,294.7696891031351,0.7387704849243164,444.671875,0.06629576906632698,0.13693645216080094,12.46284538763396,1.0,1.0
800,8,12.210134440273553,11.567382979403677,282.8917320417522,0.7412185668945312,444.671875,0.06601414265537883,0.13635474201408804,12.17943656536281,1.0,1.0
810,9,12.033708371997722,11.359202491554754,273.84161842643175,0.7437975406646729,456.859375,0.06575252245518223,0.1358143554625318,12.046040764159043,1.0,1.0
820,9,12.066028598144175,11.161557307747838,270.16940766537226,0.7462663650512695,457.015625,0.06551170067639309,0.1353169288476079,11.976782908607223,1.0,1.0
