epoch,frame,norm_cont,norm_mom_u,norm_mom_v,norm_p_gauge,loss,walltime,memory,div_rms,umax,umin,vmax,vmin,speed_max
50,1,0.4170813262462616,2.5223469734191895,0.20704315602779388,3.2461272780892614e-07,6.579057693481445,1.1574082374572754,445.0,0.5659456253051758,0.3294965326786041,-0.02810792252421379,0.09605403244495392,-0.09369124472141266,0.3305654227733612
100,1,0.3881254494190216,1.3555535078048706,0.2304268777370453,4.509983284606278e-07,2.0412633419036865,1.3632707595825195,449.171875,0.9106522798538208,0.5742704272270203,-0.0489078089594841,0.17601138353347778,-0.20256617665290833,0.5756089687347412
150,1,0.3125242590904236,0.6890882253646851,0.17806707322597504,4.738373604595836e-07,0.6042218208312988,1.564274549484253,454.8125,0.9800988435745239,0.7228875756263733,-0.06344284117221832,0.2195034921169281,-0.3052513599395752,0.7239478230476379
200,1,0.23937977850437164,0.39085376262664795,0.1249563917517662,5.443844770525175e-07,0.22568346560001373,1.7662124633789062,454.890625,0.8498742580413818,0.799311101436615,-0.07234352082014084,0.23156392574310303,-0.3808387517929077,0.7999369502067566
250,1,0.1882908046245575,0.26923730969429016,0.0907459631562233,6.111259267527203e-07,0.11617699265480042,1.9650285243988037,455.171875,0.6954846382141113,0.8357535600662231,-0.07737697660923004,0.24332919716835022,-0.42567145824432373,0.8360254764556885
300,1,0.15676097571849823,0.2115030437707901,0.07117432355880737,6.545936912516481e-07,0.07437331974506378,2.1631481647491455,455.171875,0.5834236145019531,0.8545768857002258,-0.08020216226577759,0.24908268451690674,-0.45292049646377563,0.854690670967102
350,1,0.1350233554840088,0.1788247972726822,0.05988391488790512,6.807270551689726e-07,0.053795699030160904,2.364286422729492,455.171875,0.5130342841148376,0.8644540309906006,-0.08222454786300659,0.24845024943351746,-0.47440823912620544,0.8645145297050476
400,1,0.11877062171697617,0.15779779851436615,0.05325385183095932,7.000354571573553e-07,0.04184257984161377,2.5656752586364746,455.171875,0.46645084023475647,0.8702493906021118,-0.08425667136907578,0.24451905488967896,-0.4891027808189392,0.8702833652496338
450,1,0.10528359562158585,0.14319327473640442,0.04832782968878746,7.183513730524282e-07,0.03392452746629715,2.7641642093658447,455.4375,0.43297258019447327,0.8740835189819336,-0.08823902159929276,0.2391110211610794,-0.5027243494987488,0.8741042017936707
500,1,0.09505725651979446,0.1313784271478653,0.04442165791988373,7.357287472586904e-07,0.028269460424780846,2.9644782543182373,455.4375,0.4067063331604004,0.8769007921218872,-0.097945436835289,0.23318079113960266,-0.5145214200019836,0.8769143223762512
550,1,0.0860520601272583,0.1219329982995987,0.04135177657008171,7.537120723100088e-07,0.023982582613825798,3.1653003692626953,455.4375,0.38487958908081055,0.8790810704231262,-0.12107987701892853,0.22727921605110168,-0.5243529677391052,0.8790908455848694
600,1,0.07818998396396637,0.11412271112203598,0.03906772658228874,7.727350066488725e-07,0.020663954317569733,3.364025592803955,455.4375,0.36668214201927185,0.8810988664627075,-0.14654207229614258,0.22168998420238495,-0.5326414108276367,0.881104052066803
650,1,0.07164700329303741,0.1072319746017456,0.03724079951643944,7.925121963126003e-07,0.01801886595785618,3.5627057552337646,455.4375,0.35149165987968445,0.8831159472465515,-0.16850624978542328,0.21653494238853455,-0.5396524667739868,0.8831206560134888
700,1,0.06593591719865799,0.10118667781352997,0.03590704873204231,8.142325782500848e-07,0.01587560400366783,3.761695384979248,455.6875,0.3378869891166687,0.8854044675827026,-0.18916532397270203,0.21181893348693848,-0.5461426973342896,0.8854137063026428
750,1,0.061100978404283524,0.0958649218082428,0.034915439784526825,8.376685514122073e-07,0.01414250023663044,3.9616658687591553,455.6875,0.3263166546821594,0.8878465294837952,-0.20850640535354614,0.2105570137500763,-0.5520450472831726,0.8878551125526428
800,1,0.05663788691163063,0.09115958958864212,0.03408322483301163,8.623018743492139e-07,0.012679587118327618,4.174530267715454,458.484375,0.31625896692276,0.8902164697647095,-0.22616863250732422,0.2115245759487152,-0.5574801564216614,0.8902274370193481
