epoch,total,pde,bound,init,data,u_rmse,u_rel_max,k_rmse,k_rel_max
5500,0.0010818458395078778,0.0001655676169320941,6.943312655494083e-06,4.594920756062493e-05,0.00021584643400274217,0.02623000500591432,0.026318553644602855,0.007774782332476744,0.3887882017048513
6000,0.001138106919825077,0.00020532637427095324,2.71413846348878e-05,5.20337198395282e-05,0.0002134013775503263,0.02577679392367223,0.02586381258841063,0.00752222368345087,0.37615867475724657
6500,0.0008679284946992993,0.00014659551379736513,1.5106013506738236e-06,4.090946458745748e-05,0.0001697282277746126,0.024722867394619638,0.024806328158419613,0.007297399500786447,0.36491604622567464
7000,0.0008141020080074668,0.00013595540076494217,4.1512903408147395e-06,4.311630254960619e-05,0.00015771975449752063,0.024169200093369536,0.024250791757800257,0.007076326375174544,0.35386099422854156
7500,0.0007678988622501493,0.00012624263763427734,1.1682671356538776e-05,5.4452069889521226e-05,0.00014388037379831076,0.023537465377222483,0.023616924398174317,0.0068769213258705825,0.3438894828453981
8000,0.0007747001945972443,0.00014028485747985542,1.962139504030347e-05,6.741633114870638e-05,0.00013684440637007356,0.022853657207367924,0.022930807792520713,0.006642267143816759,0.33215529228392854
8500,0.0006863783346489072,0.00012206162500660866,1.2612316822924186e-05,5.6269091146532446e-05,0.00012385881564114243,0.02255308177351338,0.02262921766021358,0.006368687194707439,0.3184745676168968
9000,0.0005762416985817254,9.828869951888919e-05,1.7697462908472517e-06,5.375920591177419e-05,0.00010560601367615163,0.021727646536349732,0.02180099587510379,0.006176731105763189,0.30887555127978517
9500,0.0005378633504733443,9.495843551121652e-05,9.52776304075087e-07,4.781920142704621e-05,9.853322990238667e-05,0.02139228719304745,0.021464504407987035,0.005966917852542783,0.29838356398997246
10000,0.0005869456799700856,0.00012677296763285995,2.7127089197165333e-06,5.365381730371155e-05,0.00010095154721057042,0.021295357010488878,0.021367247003389756,0.005761002003764978,0.28808647152804784
10500,0.00048487988533452153,9.860721183940768e-05,2.9776929295621812e-06,4.867608367931098e-05,8.365472604054958e-05,0.02064993865275257,0.0207196498082133,0.0055947811946426,0.2797743816583848
11000,0.0005247611552476883,0.00012016514665447176,1.5870746210566722e-06,4.719984281109646e-05,8.895227801986039e-05,0.020041582833351255,0.020109240269049672,0.005389262997566299,0.26949717429205794
11500,0.0006894266698509455,0.00019902008352801204,4.05281207349617e-06,5.1361344958422706e-05,0.00010874810686800629,0.02003433411870745,0.020101967083811456,0.0051975051231564545,0.2599080699330683
12000,0.0005338579649105668,0.00015989418898243457,1.104235343518667e-05,3.623857628554106e-05,8.167070336639881e-05,0.01980751449265543,0.019874381748065127,0.005010862937390637,0.25057478230351754
12500,0.0003535919822752476,6.84402693877928e-05,6.222750812412414e-07,3.5917197237722576e-05,6.21530634816736e-05,0.01870776177813279,0.018770916430142563,0.004822255241665053,0.24114320676698597
13000,0.00032089833985082805,6.871932419016957e-05,5.165753691471764e-07,2.390797271800693e-05,5.6938613852253184e-05,0.018328921468995913,0.01839079721184624,0.004680512727964758,0.2340551862089741
13500,0.0005324851954355836,0.0002006994909606874,4.194158464088105e-06,4.1854862502077594e-05,7.143416587496176e-05,0.0181631691176757,0.018224485304968733,0.004522130847403927,0.22613509225744835
14000,0.0002966882602777332,6.0882179241161793e-05,5.800496296615165e-07,2.4438077161903493e-05,5.269698885967955e-05,0.017773892546434838,0.017833894593282648,0.004416166849020293,0.22083622334829078
14500,0.00034730572951957583,8.646891365060583e-05,9.490517186350189e-06,3.556079536792822e-05,5.394637628342025e-05,0.01749048111338968,0.017549526404926945,0.004322947843362525,0.21617468453928693
