epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
60,1,0.263689786195755,0.0653400868177414,0.6434914469718933,0.10884900391101837,0.11281681805849075,0.0635850578546524,0.04320009425282478,0.5183678269386292,7.816723585128784,562.765625,0.0078178765,0.011287909,1.0,1.0,10.0,0.01,1.0
70,1,0.2238292694091797,0.03567180410027504,0.4496518671512604,0.10842441767454147,0.1031251847743988,0.05839414522051811,0.0328817255795002,0.2804405391216278,8.880976438522339,562.34375,0.004268049,0.008558244,1.0,1.0,10.0,0.01,1.0
80,1,0.20192088186740875,0.023526983335614204,0.23970581591129303,0.10644318908452988,0.09933621436357498,0.05833076685667038,0.030915969982743263,0.12434054911136627,9.944377899169922,526.046875,0.0028212906,0.0064076576,1.0,1.0,10.0,0.01,1.0
90,1,0.1859128326177597,0.013147881254553795,0.13763277232646942,0.10465972870588303,0.10049512982368469,0.05932077392935753,0.029810598120093346,0.07913978397846222,11.027196645736694,517.0625,0.0015798787,0.0058011413,1.0,1.0,10.0,0.01,1.0
100,1,0.17430758476257324,0.009383351542055607,0.09843379259109497,0.10113213956356049,0.10072527080774307,0.05960773676633835,0.028866812586784363,0.06492006033658981,12.081254243850708,520.734375,0.0011389565,0.0060464963,1.0,1.0,10.0,0.01,1.0
110,2,0.1661590337753296,0.006415968760848045,0.044383786618709564,0.10352760553359985,0.10183238238096237,0.06029261648654938,0.029323631897568703,0.05520278587937355,13.14577341079712,547.421875,0.0007815323,0.0063216076,1.0,1.0,10.0,0.01,1.0
120,2,0.16040976345539093,0.004483172204345465,0.036963749676942825,0.1037205308675766,0.10770313441753387,0.06070885807275772,0.032108157873153687,0.05419212207198143,14.212458610534668,558.09375,0.000542599,0.006696065,1.0,1.0,10.0,0.01,1.0
130,2,0.15563413500785828,0.003079243004322052,0.017375413328409195,0.1050107404589653,0.10872344672679901,0.06188707798719406,0.03256309777498245,0.05227178335189819,15.449586391448975,518.296875,0.00037587178,0.006959063,1.0,1.0,10.0,0.01,1.0
140,2,0.15197663009166718,0.0023354911245405674,0.01272487360984087,0.10507305711507797,0.10909218341112137,0.0624844953417778,0.03286546841263771,0.051190175116062164,16.506576776504517,518.5625,0.00028716234,0.007189253,1.0,1.0,10.0,0.01,1.0
150,2,0.14881499111652374,0.0018535384442657232,0.008271953091025352,0.10713215917348862,0.11204449832439423,0.06384827941656113,0.03424442186951637,0.05149831995368004,17.563246488571167,520.1875,0.00022835289,0.00739941,1.0,1.0,10.0,0.01,1.0
160,2,0.14640071988105774,0.0014971556374803185,0.0071930550038814545,0.11246314644813538,0.11385686695575714,0.06567458808422089,0.035238299518823624,0.05265338346362114,18.618664026260376,523.265625,0.00018482062,0.0075759515,1.0,1.0,10.0,0.01,1.0
170,2,0.1442423313856125,0.0012378118699416518,0.006497225258499384,0.11323602497577667,0.11540814489126205,0.06669671833515167,0.035926006734371185,0.05273016169667244,19.667717933654785,524.734375,0.00015343618,0.0077168853,1.0,1.0,10.0,0.01,1.0
180,2,0.14260438084602356,0.0010811947286128998,0.006107533350586891,0.10833782702684402,0.11728817224502563,0.06605902314186096,0.03687715902924538,0.05159179866313934,20.734053373336792,524.8125,0.00013472381,0.007866562,1.0,1.0,10.0,0.01,1.0
190,2,0.1411205232143402,0.0009776585502550006,0.006013415288180113,0.10605724155902863,0.11384829878807068,0.0661015585064888,0.03528324142098427,0.04977601394057274,21.78965473175049,527.328125,0.00012214502,0.007988746,1.0,1.0,10.0,0.01,1.0
200,2,0.13992689549922943,0.0009007237385958433,0.00599910831078887,0.11261622607707977,0.1144978329539299,0.068177230656147,0.03556014597415924,0.05132116377353668,22.846121549606323,535.15625,0.00011249685,0.008104807,1.0,1.0,10.0,0.01,1.0
