epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
180,2,0.10743935406208038,0.004584048874676228,0.0033875389490276575,0.05579112470149994,0.060140397399663925,0.033467430621385574,0.012993917800486088,0.019594131037592888,21.390440940856934,439.828125,0.00024097825,0.008831227,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
190,2,0.10691637545824051,0.0031579986680299044,0.0032641116995364428,0.055492207407951355,0.05996863171458244,0.03319794312119484,0.01266587432473898,0.019389886409044266,22.523229122161865,425.234375,0.00012322584,0.008943305,0.5854354997243697,2.5232379198910415,7.7904956083383805,0.007693596480646254,1.1294532309288396
200,2,0.10641574114561081,0.0017065070569515228,0.00322837196290493,0.05522364750504494,0.05986522510647774,0.03303804248571396,0.012479080818593502,0.019218381494283676,23.70862627029419,397.046875,8.243166e-05,0.0090263495,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
210,3,0.04945965111255646,1.0166637897491455,1.375778317451477,0.026375140994787216,0.030088838189840317,0.01249562669545412,0.005554568488150835,2.93060564994812,24.823382139205933,420.4375,0.017966079,0.016257815,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
220,3,0.047479063272476196,0.6295018196105957,0.944909393787384,0.025779981166124344,0.029391374439001083,0.010650702752172947,0.0037080072797834873,1.2930363416671753,25.93858242034912,427.953125,0.010667236,0.012374741,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
230,3,0.04612574726343155,0.43783682584762573,0.5180327892303467,0.025350788608193398,0.028961917385458946,0.012467741034924984,0.0041093421168625355,0.46384042501449585,27.25687885284424,388.5625,0.0059857178,0.011314582,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
240,3,0.04599614441394806,0.25621461868286133,0.38065022230148315,0.025099217891693115,0.028617387637495995,0.010917117819190025,0.004424708895385265,0.21424385905265808,28.53602123260498,361.4375,0.004107817,0.010760654,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
250,3,0.04573003202676773,0.14442682266235352,0.18867632746696472,0.025109361857175827,0.028318896889686584,0.011171640828251839,0.004260198213160038,0.06012449413537979,29.720865964889526,385.03125,0.0022737044,0.010564565,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
260,3,0.04584063962101936,0.09618376195430756,0.13447117805480957,0.024925904348492622,0.028069090098142624,0.01088455319404602,0.004124765284359455,0.030979838222265244,30.926664113998413,370.09375,0.0011891797,0.010495397,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
270,3,0.04593631625175476,0.05950774624943733,0.0780586302280426,0.024787481874227524,0.027857786044478416,0.01061913464218378,0.004104624968022108,0.013264556415379047,32.05572271347046,396.015625,0.00071849354,0.010553587,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
280,3,0.04599622264504433,0.03700803965330124,0.03158700093626976,0.02467128448188305,0.027675719931721687,0.010472509078681469,0.0040893261320889,0.00598399993032217,33.18791341781616,396.1875,0.000441291,0.010624071,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
290,3,0.04605845361948013,0.020992089062929153,0.028353072702884674,0.02455935813486576,0.027509670704603195,0.010343849658966064,0.004048616159707308,0.004849275574088097,34.313169717788696,409.578125,0.00029901246,0.010663181,0.22210968259731917,7.559542852842985,16.969329336031198,0.003967734952994381,0.8845647801464053
300,3,0.04611115902662277,0.010912170633673668,0.01875959523022175,0.024472905322909355,0.027356095612049103,0.010206094942986965,0.004006190225481987,0.0040647294372320175,35.436307430267334,410.109375,0.00017810782,0.010689638,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
310,4,0.03137718141078949,0.007931903004646301,0.010227199643850327,0.02158498764038086,0.024255307391285896,0.18687023222446442,0.20490077137947083,0.07911107689142227,36.54876112937927,425.515625,0.000106104206,0.010829168,0.13884369287078605,9.71407926844317,16.630857052460588,0.0033059588699273224,1.3485284831768773
