epoch,frame,norm_fu,norm_imp,norm_wreg,loss,walltime,memory,error_u,error_k
26,3,0.0038228498306125402,0.005425561219453812,0.0,4.405089566716924e-05,229.4816813468933,404.234375,0.0070358724,0.04256993
27,3,0.0035729745868593454,0.005146916024386883,0.0,3.925689452444203e-05,238.32120418548584,408.828125,0.006631232,0.03901085
28,3,0.003346910933032632,0.0048942044377326965,0.0,3.515505159157328e-05,247.20915699005127,409.125,0.006263707,0.035895012
29,3,0.0031383251771330833,0.0046649812720716,0.0,3.1611136364517733e-05,256.109014749527,409.34375,0.0059298174,0.033153772
30,3,0.002950293244794011,0.004456669092178345,0.0,2.856612809409853e-05,265.17264890670776,399.96875,0.0056258338,0.030725626
31,4,0.002773646730929613,0.004267580341547728,0.0,2.5905359507305548e-05,274.00383710861206,438.3125,0.00534933,0.028572181
32,4,0.0026135286316275597,0.004095684736967087,0.0,2.3605167370988056e-05,282.8638000488281,437.328125,0.0050974437,0.02665111
33,4,0.002466296311467886,0.003939509857445955,0.0,2.1602354536298662e-05,291.6525948047638,437.546875,0.0048679262,0.024933705
34,4,0.0023249920923262835,0.0037978137843310833,0.0,1.9828978111036122e-05,300.52682995796204,433.296875,0.00465923,0.023399858
35,4,0.0021983287297189236,0.0036690819542855024,0.0,1.8294811525265686e-05,309.2578179836273,442.78125,0.0044691726,0.022021867
36,4,0.0020806510001420975,0.0035522275138646364,0.0,1.6947427866398357e-05,318.0301899909973,443.78125,0.004296121,0.020784093
37,4,0.001972449477761984,0.003446105634793639,0.0,1.5766199794597924e-05,326.785658121109,445.40625,0.0041385572,0.01967033
38,4,0.0018720378866419196,0.0033497202675789595,0.0,1.472515123168705e-05,335.60585021972656,446.0,0.0039950907,0.018667469
39,4,0.0017817647894844413,0.003262054407969117,0.0,1.3815684724249877e-05,344.34786224365234,443.09375,0.0038643095,0.01776127
40,4,0.0016967104747891426,0.0031823862809687853,0.0,1.300640815316001e-05,353.18388628959656,437.234375,0.0037452038,0.016944947
41,5,0.001619076356291771,0.0031099622137844563,0.0,1.2293273357499857e-05,362.0624101161957,437.90625,0.0036367103,0.016207732
42,5,0.001548902248032391,0.0030440448317676783,0.0,1.1665306374197826e-05,370.9154613018036,444.984375,0.003537771,0.015540974
43,5,0.0014828313142061234,0.0029840997885912657,0.0,1.110364064516034e-05,379.79987144470215,445.78125,0.0034476367,0.014939847
44,5,0.0014227349311113358,0.002929476322606206,0.0,1.0606006981106475e-05,388.678546667099,445.203125,0.0033654228,0.014396404
45,5,0.0013700039125978947,0.002879570471122861,0.0,1.0168836524826474e-05,397.44636368751526,448.109375,0.0032902816,0.013903364
46,5,0.0013178260996937752,0.0028341789729893208,0.0,9.76923547568731e-06,406.17175364494324,448.109375,0.003221892,0.013460565
47,5,0.0012698968639597297,0.002792847342789173,0.0,9.412633517058566e-06,414.89104652404785,447.34375,0.003159621,0.013061567
48,5,0.0012280107475817204,0.0027550740633159876,0.0,9.0984440248576e-06,423.64108967781067,448.1875,0.0031027363,0.012700724
49,5,0.0011886806460097432,0.0027205890510231256,0.0,8.814567081572022e-06,432.3874008655548,449.109375,0.0030508544,0.012375806
