epoch,frame,norm_fu,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1
120,2,0.16040924191474915,0.03696388006210327,0.10354886204004288,0.10700501501560211,0.06073620170354843,0.031780604273080826,0.05396879091858864,13.722193002700806,626.171875,0.0005425983,0.006695845
130,2,0.1558285802602768,0.017375633120536804,0.1053997203707695,0.11070963740348816,0.06184917688369751,0.0334915965795517,0.052897192537784576,14.772778749465942,624.625,0.00037591546,0.006957203
140,2,0.15198750793933868,0.012726569548249245,0.10756582021713257,0.10915841907262802,0.06314064562320709,0.03283092379570007,0.05181274563074112,15.835005760192871,615.453125,0.0002872186,0.007192604
150,2,0.1488485038280487,0.008274798281490803,0.10722585767507553,0.11041463166475296,0.06380810588598251,0.0335443839430809,0.05110982432961464,16.881505012512207,620.109375,0.0002284203,0.007397478
160,2,0.14648523926734924,0.007196678780019283,0.10629748553037643,0.11600150913000107,0.06424117833375931,0.0361873060464859,0.05170166864991188,17.950708150863647,620.765625,0.00018484484,0.007567122
170,2,0.14430761337280273,0.00650059524923563,0.11008331924676895,0.1127447634935379,0.06598211079835892,0.03474824130535126,0.051257744431495667,18.99402356147766,623.796875,0.00015342807,0.0077250516
180,2,0.14265568554401398,0.00610971637070179,0.1132240816950798,0.11154530942440033,0.06718048453330994,0.03421942889690399,0.051334209740161896,20.04039239883423,626.34375,0.00013464554,0.007859663
190,2,0.14104272425174713,0.006014367565512657,0.11366454511880875,0.12194013595581055,0.06813914328813553,0.03892667591571808,0.053876470774412155,21.091525316238403,638.1875,0.00012211893,0.007991175
200,2,0.14011456072330475,0.005999050103127956,0.11251994967460632,0.11846505850553513,0.06803236901760101,0.037213582545518875,0.05237603932619095,22.148614168167114,644.28125,0.000112936126,0.008108446
210,3,0.13928677141666412,0.005981700029224157,0.1116400733590126,0.11478602141141891,0.06843771040439606,0.03570062294602394,0.05103417858481407,23.198626279830933,642.921875,0.00016631174,0.008204986
220,3,0.1390111893415451,0.005976879969239235,0.10864923149347305,0.11764727532863617,0.06790409982204437,0.03705999255180359,0.050989780575037,24.300686597824097,633.90625,0.0006249299,0.008295356
230,3,0.13826203346252441,0.0059838551096618176,0.11520427465438843,0.12339529395103455,0.07000836730003357,0.03965599834918976,0.054124388843774796,25.362064361572266,638.328125,0.0005145351,0.008389479
240,3,0.1372593343257904,0.0059927464462816715,0.11466425657272339,0.11607465893030167,0.06999967992305756,0.03621344640851021,0.05170862749218941,26.4290771484375,642.3125,0.0002496322,0.008472919
250,3,0.1368235945701599,0.005998031236231327,0.12549281120300293,0.11671380698680878,0.07039959728717804,0.03656924515962601,0.05442064255475998,27.497687816619873,632.6875,0.00016724295,0.008547209
260,3,0.13659065961837769,0.0060049183666706085,0.1176677793264389,0.11219184100627899,0.07052414864301682,0.034399714320898056,0.05128277838230133,28.564955949783325,635.9375,0.00020696374,0.00862465
270,3,0.13732601702213287,0.00601218082010746,0.11483912169933319,0.11555329710245132,0.07011689245700836,0.03612890839576721,0.05165684595704079,29.634340524673462,633.828125,0.00042253718,0.008683195
280,3,0.1363074779510498,0.006018972024321556,0.1074790433049202,0.12932473421096802,0.0690302699804306,0.04250079765915871,0.05346408486366272,30.70565152168274,633.140625,0.00012514347,0.0087685855
290,3,0.13605454564094543,0.006024172995239496,0.11709904670715332,0.11966077238321304,0.0714402049779892,0.03810930252075195,0.05313403904438019,31.791016578674316,614.34375,0.00021054897,0.008832233
