flow,K,sample,error
uniform,29,2,0.00020031648112772693
uniform,29,3,0.0006639764347406985
uniform,29,4,0.00022336112627696636
uniform,29,5,0.00010098616868603472
uniform,29,6,0.00017038999075147387
uniform,29,7,0.00010416593045947664
uniform,29,8,0.0001747881589932998
uniform,29,9,0.0002555265371829707
uniform,29,10,0.00015897899588779296
uniform,29,11,0.0007165395790922346
uniform,29,12,0.00013318608145596045
uniform,29,13,0.0001699615141579347
uniform,29,14,0.00019563150088064418
uniform,29,15,0.00019996373125863443
uniform,29,16,0.000165248513626981
uniform,29,17,0.00018012906878261958
uniform,29,18,0.00015336339609528515
uniform,29,19,0.0002384623077360537
uniform,35,0,0.0004491752538320348
uniform,35,1,9.030338308968489e-05
uniform,35,2,0.00016892919570343778
uniform,35,3,0.00013929004068469197
uniform,35,4,0.00012026439564660762
uniform,35,5,0.00013781900501474986
uniform,35,6,0.0001761609163526412
uniform,35,7,0.00012490463626835258
uniform,35,8,0.00021171419286258875
uniform,35,9,0.00013346576130141008
uniform,35,10,9.847173593507952e-05
uniform,35,11,0.0001613148034365075
uniform,35,12,0.00036184691010743286
uniform,35,13,7.021346093349923e-05
uniform,35,14,0.0001676721799811487
uniform,35,15,9.198426007550609e-05
uniform,35,16,0.0013590977105467639
uniform,35,17,0.00016328369344753568
uniform,35,18,9.472942773824933e-05
uniform,35,19,0.00018355335312847387
uniform,40,0,0.00013492435961781624
uniform,40,1,0.0001466211151675001
uniform,40,2,0.0001795084506086564
uniform,40,3,0.00017175347315845357
uniform,40,4,0.00012740583374215575
uniform,40,5,0.0001021761941109034
uniform,40,6,0.00016474520260123526
uniform,40,7,0.00021046402461610825
uniform,40,8,0.00016433580707708728
uniform,40,9,0.00019831852323171084
uniform,40,10,0.00020329767415638855
uniform,40,11,0.00014071967147222253
uniform,40,12,0.000135252384171336
uniform,40,13,0.00016049900920700466
uniform,40,14,0.0001889615395347377
uniform,40,15,0.00010654665395126717
uniform,40,16,0.00019141811415168686
uniform,40,17,0.00011271228884801587
uniform,40,18,0.00011211985887560338
uniform,40,19,0.00011717898267638027
uniform,45,0,0.00016298786893997885
uniform,45,1,0.001291678484383496
uniform,45,2,0.00012046883878252812
uniform,45,3,0.00011990583086607387
uniform,45,4,0.00021901189791639908
uniform,45,5,0.0001191991518818547
uniform,45,6,0.00019780825425352866
uniform,45,7,0.00020355131834870477
uniform,45,8,0.00017610990331218268
uniform,45,9,0.00014717143631903795
uniform,45,10,0.00018410200769491958
uniform,45,11,0.00013537078360159605
uniform,45,12,0.00010615651803047577
uniform,45,13,0.0001599592258954008
uniform,45,14,0.00011570752344303159
uniform,45,15,0.00012815060159843128
uniform,45,16,0.00016256575469342227
uniform,45,17,0.00010386255275474099
uniform,45,18,0.00011969994249694249
uniform,45,19,0.00011854066848870914
uniform,50,0,0.00022467738463793907
uniform,50,1,0.00011175258148621303
uniform,50,2,0.0002061445882954871
uniform,50,3,0.00016423155186173766
uniform,50,4,0.00010362182872025727
uniform,50,5,0.00010402910378526364
uniform,50,6,0.00018432709856952556
uniform,50,7,0.0001920089169555883
uniform,50,8,0.00011511793165563944
uniform,50,9,9.414923646899886e-05
uniform,50,10,0.00017144680837910542
uniform,50,11,0.00010608626762675932
uniform,50,12,5.8580903439242604e-05
uniform,50,13,0.00012753464802739423
uniform,50,14,8.471006287147365e-05
uniform,50,15,0.00021777302784009578
uniform,50,16,0.00020854717774754228
uniform,50,17,0.00018101087916200242
uniform,50,18,8.35854980680284e-05
uniform,50,19,8.220982213136274e-05
couette,1,0,0.4859868838059659
couette,1,1,0.43422023794414
couette,1,2,0.5096076381172766
couette,1,3,0.4923711266583489
couette,1,4,0.5214836723677309
couette,1,5,0.5048125829866492
couette,1,6,0.4247395078312529
couette,1,7,0.3746368311220294
couette,1,8,0.5404192352933391
couette,1,9,0.5033183921464782
couette,1,10,0.510469874761776
couette,1,11,0.29333208062524535
couette,1,12,0.47828248210150737
couette,1,13,0.5018406079555092
couette,1,14,0.5006779392776047
couette,1,15,0.49568823791251715
couette,1,16,0.5141295415657744
couette,1,17,0.4926438642111942
couette,1,18,0.5499257394440606
couette,1,19,0.5575639092213687
couette,2,0,0.4028606128676937
couette,2,1,0.5216062038367225
couette,2,2,0.37400512317424484
couette,2,3,0.5182784817943603
couette,2,4,0.44719106810026776
couette,2,5,0.2581227354654691
couette,2,6,0.248269420140365
couette,2,7,0.28260310371647535
couette,2,8,0.24413905979852363
couette,2,9,0.38157767266062736
couette,2,10,0.21099435406485342
couette,2,11,0.4519282576787112
couette,2,12,0.28677432832881716
couette,2,13,0.3233926839862936
couette,2,14,0.33519261809742534
couette,2,15,0.34161005398952216
couette,2,16,0.2707495698263851
couette,2,17,0.19203943530246068
couette,2,18,0.6719034734142282
couette,2,19,0.3277308641658039
couette,4,0,0.05613143971312935
couette,4,1,0.26195991811008734
couette,4,2,0.3249543198846411
couette,4,3,0.14350268679863526
couette,4,4,0.18858932011988833
couette,4,5,0.13348445821847443
couette,4,6,0.23887198425606243
couette,4,7,0.1777632458249852
couette,4,8,0.19180747212935767
couette,4,9,0.18935131045300085
couette,4,10,0.2700155879689661
couette,4,11,0.5166489600768898
couette,4,12,0.30130612771906506
couette,4,13,0.08162800854135499
couette,4,14,0.22869954081864802
couette,4,15,0.0411731245644128
couette,4,16,0.3197178851982355
couette,4,17,0.05800321878773207
couette,4,18,0.12990367963839736
couette,4,19,0.15977240595937126
couette,6,0,0.03315122669057271
couette,6,1,0.030923950783674076
couette,6,2,0.12687507219509836
couette,6,3,0.06315337766787824
couette,6,4,0.010996609653101407
couette,6,5,0.030541909300729357
couette,6,6,0.1039710544309606
couette,6,7,0.01803910242931589
couette,6,8,0.14528266709888146
couette,6,9,0.39672146184032664
couette,6,10,0.0032516950334230132
couette,6,11,0.010975932618382537
couette,6,12,0.11150845978983598
couette,6,13,0.2336668334281302
couette,6,14,0.033465628930917965
couette,6,15,0.01030171346305301
couette,6,16,0.0036097642665735546
couette,6,17,0.0036542998946810924
couette,6,18,0.020667049665753657
couette,6,19,0.062345286212271596
couette,8,0,0.02316359889459608
couette,8,1,0.0015315328031146017
couette,8,2,0.0004335662087379989
couette,8,3,0.028351871317979848
couette,8,4,0.012494073354826527
couette,8,5,0.014683769463354972
couette,8,6,0.01626325331021639
couette,8,7,0.0026574580655263757
couette,8,8,0.01221554278367224
couette,8,9,0.005471394294753056
couette,8,10,0.0028677370047149446
couette,8,11,0.0019134678173155215
couette,8,12,0.09381456469581258
couette,8,13,0.0033904403107962366
couette,8,14,0.027708438179620494
couette,8,15,0.009565382861552665
couette,8,16,0.015615443805944214
couette,8,17,0.1525536651034387
couette,8,18,0.03690873575094998
couette,8,19,0.01578678057478048
couette,10,0,0.0025724277887193775
couette,10,1,0.0005912375906549866
couette,10,2,0.03587872259482137
couette,10,3,0.012393212950943842
couette,10,4,0.0014444081071474156
couette,10,5,0.002429382625466721
couette,10,6,0.0034872706346806615
couette,10,7,0.07325363562919682
couette,10,8,0.052490757146781336
couette,10,9,0.0024389982142318713
couette,10,10,0.0011261038747617832
couette,10,11,0.03156912424618119
couette,10,12,0.0009420154974218681
couette,10,13,0.001991610530931509
couette,10,14,0.0284883568016003
couette,10,15,0.0048812786182422345
couette,10,16,0.0019262042554238704
couette,10,17,0.0023755413073004296
couette,10,18,0.07738517843510628
couette,10,19,0.011138699142999265
couette,12,0,0.000675047874739542
couette,12,1,0.008075251217018357
couette,12,2,0.00045904566973631
couette,12,3,0.00040966156492267696
couette,12,4,0.00235650982875044
couette,12,5,0.0012858876698458783
couette,12,6,0.10435947362327266
couette,12,7,0.08019382549407932
couette,12,8,0.0024464682276334583
couette,12,9,0.051415947184964894
couette,12,10,0.0026228394740551116
couette,12,11,0.0007914950060347593
couette,12,12,0.0003508507993015161
couette,12,13,0.00342429062631154
couette,12,14,0.00040529159384993424
couette,12,15,0.005172273326028811
couette,12,16,0.0004246952895406252
couette,12,17,0.0030840851579430157
couette,12,18,0.005566443053131011
couette,12,19,0.09471985812148839
couette,16,0,0.0008109584937213417
couette,16,1,0.0003552425342114171
couette,16,2,0.00024847423746451837
couette,16,3,0.00012801733193897865
couette,16,4,0.00019979792954171984
couette,16,5,0.00034867973922832066
couette,16,6,0.0005615959699660241
couette,16,7,0.00014453548522934292
couette,16,8,0.007132508780529693
couette,16,9,0.00045753879955555556
couette,16,10,0.0002693082538208359
couette,16,11,0.0005766916256210595
couette,16,12,0.00044773561475550295
couette,16,13,0.00043502664236062414
couette,16,14,0.00025758597588094296
couette,16,15,0.00042663142477821023
couette,16,16,0.00019824324499060844
couette,16,17,0.0003933769351193051
couette,16,18,0.00020363162222513845
couette,16,19,0.0002708048920713917
couette,20,0,0.0002272424847496359
couette,20,1,0.00013813650897559672
couette,20,2,0.0061402131348397134
couette,20,3,0.0003447585387531888
couette,20,4,0.0004569315579151575
couette,20,5,0.00039599524698001685
couette,20,6,0.0002525816347743845
couette,20,7,0.0001818777095581406
couette,20,8,0.00023633504538685563
couette,20,9,0.00023061089568262547
couette,20,10,0.00015507681155062448
